% number of nodes
39
% number of vehicles
7
% for each vehicle: vehicle index, home node, starting time, capacity
1,8,102,13200
2,13,72,13200
3,31,49,16500
4,14,0,16500
5,12,0,24000
6,12,0,24000
7,27,39,5800
% number of calls
35
% for each vehicle, vehicle index, and then a list of calls that can be transported using that vehicle
1,1,2,4,8,9,10,11,12,13,14,17,18,20,21,22,24,26,27,28,29,30,31,33,35
2,1,2,4,5,8,9,10,11,12,13,14,17,18,20,21,22,23,24,26,27,29,30,31,33,34,35
3,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35
4,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
5,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
6,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
7,1,8,12,13,14,18,21,28,29,31,35
% for each call: call index, origin node, destination node, size, cost of not transporting, lb tw pu, ub tw pu, lb tw d, ub tw d
1,10,38,3838,486864,981,1053,981,1501
2,29,17,7822,867452,852,924,852,1417
3,17,39,15456,573117,184,256,184,779
4,29,27,12362,571695,1248,1320,1248,1790
5,4,34,3136,269649,123,195,123,577
6,11,35,5682,450486,0,72,0,624
7,31,36,2330,512866,12,84,12,506
8,30,36,4364,592380,606,678,606,1336
9,1,17,9121,360621,1160,1232,1160,1576
10,34,8,10786,565067,536,608,536,1167
11,11,34,9567,372154,667,739,667,1099
12,10,14,5315,525320,151,223,151,947
13,29,36,5016,602162,199,271,199,708
14,29,27,2639,406999,637,709,637,1204
15,30,34,15891,488559,948,1020,948,1510
16,33,36,14908,328658,406,478,406,874
17,33,34,12383,452354,243,315,243,721
18,31,37,5193,636144,310,382,310,888
19,30,37,6711,1076675,16,88,16,666
20,4,6,10132,598184,757,829,757,1294
21,14,19,4421,308776,118,190,118,554
22,30,27,10542,538145,591,663,591,1089
23,12,1,11485,527497,67,139,67,551
24,29,35,7054,471006,693,765,693,1543
25,1,39,14539,783125,82,154,82,619
26,10,38,10285,522062,1166,1238,1166,1676
27,6,12,7463,472249,907,979,907,1390
28,24,1,2421,384218,54,126,54,457
29,11,34,2934,426236,465,537,465,1327
30,10,35,9638,620211,414,486,414,978
31,10,37,3299,538409,1104,1176,1104,1670
32,29,12,14049,524063,960,1032,960,1422
33,9,5,11410,596814,820,892,820,1324
34,31,37,9428,520594,60,132,60,801
35,33,39,2377,351367,426,498,426,840
% travel times and costs: vehicle, origin node, destination node, travel time (in minutes), travel cost (in Euro)
2,1,38,231,156604
3,1,38,215,126739
4,1,38,215,126739
5,1,38,260,173692
6,1,38,260,173692
7,1,38,231,80321
1,1,39,179,121279
2,1,39,179,121279
3,1,39,166,98151
4,1,39,166,98151
5,1,39,201,134513
6,1,39,201,134513
7,1,39,179,62203
1,2,1,71,48031
2,2,1,71,48031
3,2,1,66,38871
4,2,1,66,38871
5,2,1,80,53272
6,2,1,80,53272
7,2,1,71,24635
1,2,2,0,0
2,2,2,0,0
3,2,2,0,0
4,2,2,0,0
5,2,2,0,0
6,2,2,0,0
7,2,2,0,0
1,2,3,55,37544
2,2,3,55,37544
3,2,3,51,30385
4,2,3,51,30385
5,2,3,62,41641
6,2,3,62,41641
7,2,3,55,19256
1,2,4,81,55207
2,2,4,81,55207
3,2,4,76,44679
4,2,4,76,44679
5,2,4,92,61231
6,2,4,92,61231
7,2,4,81,28315
1,2,5,51,34473
2,2,5,51,34473
3,2,5,47,27899
4,2,5,47,27899
5,2,5,57,38234
6,2,5,57,38234
7,2,5,51,17681
1,2,6,54,36752
2,2,6,54,36752
3,2,6,50,29744
4,2,6,50,29744
5,2,6,61,40763
6,2,6,61,40763
7,2,6,54,18850
1,2,7,51,34311
2,2,7,51,34311
3,2,7,47,27768
4,2,7,47,27768
5,2,7,57,38054
6,2,7,57,38054
7,2,7,51,17598
1,2,8,74,50058
2,2,8,74,50058
3,2,8,69,40512
4,2,8,69,40512
5,2,8,83,55520
6,2,8,83,55520
7,2,8,74,25674
1,2,9,119,80577
2,2,9,119,80577
3,2,9,111,65211
4,2,9,111,65211
5,2,9,134,89369
6,2,9,134,89369
7,2,9,119,41327
1,2,10,64,43181
2,2,10,64,43181
3,2,10,59,34946
4,2,10,59,34946
5,2,10,72,47892
6,2,10,72,47892
7,2,10,64,22147
1,2,11,57,38858
2,2,11,57,38858
3,2,11,53,31448
4,2,11,53,31448
5,2,11,64,43098
6,2,11,64,43098
7,2,11,57,19930
1,2,12,14,9328
2,2,12,14,9328
3,2,12,13,7549
4,2,12,13,7549
5,2,12,15,10346
6,2,12,15,10346
7,2,12,14,4784
1,2,13,18,12169
2,2,13,18,12169
3,2,13,17,9848
4,2,13,17,9848
5,2,13,20,13497
6,2,13,20,13497
7,2,13,18,6241
1,2,14,48,32497
2,2,14,48,32497
3,2,14,45,26299
4,2,14,45,26299
5,2,14,54,36043
6,2,14,54,36043
7,2,14,48,16667
1,2,15,66,44472
2,2,15,66,44472
3,2,15,61,35991
4,2,15,61,35991
5,2,15,74,49325
6,2,15,74,49325
7,2,15,66,22809
1,2,16,52,35265
2,2,16,52,35265
3,2,16,48,28540
4,2,16,48,28540
5,2,16,58,39113
6,2,16,58,39113
7,2,16,52,18087
1,2,17,99,66978
2,2,17,99,66978
3,2,17,92,54206
4,2,17,92,54206
5,2,17,111,74287
6,2,17,111,74287
7,2,17,99,34353
1,2,18,122,82897
2,2,18,122,82897
3,2,18,114,67088
4,2,18,114,67088
5,2,18,137,91942
6,2,18,137,91942
7,2,18,122,42517
1,2,19,83,56587
2,2,19,83,56587
3,2,19,78,45796
4,2,19,78,45796
5,2,19,94,62762
6,2,19,94,62762
7,2,19,83,29023
1,2,20,43,29053
2,2,20,43,29053
3,2,20,40,23512
4,2,20,40,23512
5,2,20,48,32223
6,2,20,48,32223
7,2,20,43,14901
1,2,21,45,30320
2,2,21,45,30320
3,2,21,42,24538
4,2,21,42,24538
5,2,21,50,33628
6,2,21,50,33628
7,2,21,45,15551
1,2,22,87,59080
2,2,22,87,59080
3,2,22,81,47813
4,2,22,81,47813
5,2,22,98,65527
6,2,22,98,65527
7,2,22,87,30302
1,2,23,85,57893
2,2,23,85,57893
3,2,23,79,46853
4,2,23,79,46853
5,2,23,96,64210
6,2,23,96,64210
7,2,23,85,29693
1,2,24,87,59080
2,2,24,87,59080
3,2,24,81,47813
4,2,24,81,47813
5,2,24,98,65527
6,2,24,98,65527
7,2,24,87,30302
1,2,25,46,30917
2,2,25,46,30917
3,2,25,42,25021
4,2,25,42,25021
5,2,25,51,34291
6,2,25,51,34291
7,2,25,46,15857
1,2,26,50,34134
2,2,26,50,34134
3,2,26,47,27624
4,2,26,47,27624
5,2,26,57,37858
6,2,26,57,37858
7,2,26,50,17507
1,2,27,103,70210
2,2,27,103,70210
3,2,27,96,56821
4,2,27,96,56821
5,2,27,116,77871
6,2,27,116,77871
7,2,27,103,36010
1,2,28,31,21154
2,2,28,31,21154
3,2,28,29,17120
4,2,28,29,17120
5,2,28,35,23462
6,2,28,35,23462
7,2,28,31,10850
1,2,29,92,62600
2,2,29,92,62600
3,2,29,86,50662
4,2,29,86,50662
5,2,29,104,69431
6,2,29,104,69431
7,2,29,92,32107
1,2,30,3,2090
2,2,30,3,2090
3,2,30,3,1691
4,2,30,3,1691
5,2,30,3,2318
6,2,30,3,2318
7,2,30,3,1072
1,2,31,27,18149
2,2,31,27,18149
3,2,31,25,14688
4,2,31,25,14688
5,2,31,30,20129
6,2,31,30,20129
7,2,31,27,9308
1,2,32,66,44797
2,2,32,66,44797
3,2,32,61,36254
4,2,32,61,36254
5,2,32,74,49685
6,2,32,74,49685
7,2,32,66,22976
1,2,33,61,41258
2,2,33,61,41258
3,2,33,57,33390
4,2,33,57,33390
5,2,33,68,45760
6,2,33,68,45760
7,2,33,61,21161
1,2,34,128,86733
2,2,34,128,86733
3,2,34,119,70193
4,2,34,119,70193
5,2,34,144,96197
6,2,34,144,96197
7,2,34,128,44485
1,2,35,166,112883
2,2,35,166,112883
3,2,35,155,91356
4,2,35,155,91356
5,2,35,187,125200
6,2,35,187,125200
7,2,35,166,57897
1,2,36,125,84744
2,2,36,125,84744
3,2,36,116,68583
4,2,36,116,68583
5,2,36,140,93991
6,2,36,140,93991
7,2,36,125,43465
1,2,37,184,124945
2,2,37,184,124945
3,2,37,171,101118
4,2,37,171,101118
5,2,37,207,138579
6,2,37,207,138579
7,2,37,184,64083
1,2,38,178,121023
2,2,38,178,121023
3,2,38,166,97944
4,2,38,166,97944
5,2,38,201,134229
6,2,38,201,134229
7,2,38,178,62072
1,2,39,126,85698
2,2,39,126,85698
3,2,39,118,69355
4,2,39,118,69355
5,2,39,142,95049
6,2,39,142,95049
7,2,39,126,43954
1,3,1,19,12930
2,3,1,19,12930
3,3,1,18,10464
4,3,1,18,10464
5,3,1,21,14341
6,3,1,21,14341
7,3,1,19,6632
1,3,2,55,37544
2,3,2,55,37544
3,3,2,51,30385
4,3,2,51,30385
5,3,2,62,41641
6,3,2,62,41641
7,3,2,55,19256
1,3,3,0,0
2,3,3,0,0
3,3,3,0,0
4,3,3,0,0
5,3,3,0,0
6,3,3,0,0
7,3,3,0,0
1,3,4,118,80302
2,3,4,118,80302
3,3,4,110,64988
4,3,4,110,64988
5,3,4,133,89064
6,3,4,133,89064
7,3,4,118,41186
1,3,5,51,34514
2,3,5,51,34514
3,3,5,47,27932
4,3,5,47,27932
5,3,5,57,38280
6,3,5,57,38280
7,3,5,51,17702
1,3,6,7,4969
2,3,6,7,4969
3,3,6,7,4021
4,3,6,7,4021
5,3,6,8,5511
6,3,6,8,5511
7,3,6,7,2548
1,3,7,5,3506
2,3,7,5,3506
3,3,7,5,2837
4,3,7,5,2837
5,3,7,6,3888
6,3,7,6,3888
7,3,7,5,1798
1,3,8,22,14957
2,3,8,22,14957
3,3,8,21,12105
4,3,8,21,12105
5,3,8,25,16589
6,3,8,25,16589
7,3,8,22,7672
1,3,9,67,45476
2,3,9,67,45476
3,3,9,62,36804
4,3,9,62,36804
5,3,9,75,50439
6,3,9,75,50439
7,3,9,67,23324
1,3,10,101,68275
2,3,10,101,68275
3,3,10,94,55255
4,3,10,94,55255
5,3,10,113,75725
6,3,10,113,75725
7,3,10,101,35018
1,3,11,94,63953
2,3,11,94,63953
3,3,11,88,51757
4,3,11,88,51757
5,3,11,106,70931
6,3,11,106,70931
7,3,11,94,32801
1,3,12,48,32266
2,3,12,48,32266
3,3,12,44,26113
4,3,12,44,26113
5,3,12,53,35787
6,3,12,53,35787
7,3,12,48,16549
1,3,13,43,29038
2,3,13,43,29038
3,3,13,40,23501
4,3,13,40,23501
5,3,13,48,32207
6,3,13,48,32207
7,3,13,43,14893
1,3,14,8,5238
2,3,14,8,5238
3,3,14,7,4239
4,3,14,7,4239
5,3,14,9,5810
6,3,14,9,5810
7,3,14,8,2687
1,3,15,20,13653
2,3,15,20,13653
3,3,15,19,11049
4,3,15,19,11049
5,3,15,23,15143
6,3,15,23,15143
7,3,15,20,7003
1,3,16,5,3482
2,3,16,5,3482
3,3,16,5,2818
4,3,16,5,2818
5,3,16,6,3862
6,3,16,6,3862
7,3,16,5,1786
1,3,17,47,31878
2,3,17,47,31878
3,3,17,44,25799
4,3,17,44,25799
5,3,17,53,35356
6,3,17,53,35356
7,3,17,47,16350
1,3,18,73,49630
2,3,18,73,49630
3,3,18,68,40165
4,3,18,68,40165
5,3,18,82,55045
6,3,18,82,55045
7,3,18,73,25455
1,3,19,34,22923
2,3,19,34,22923
3,3,19,31,18551
4,3,19,31,18551
5,3,19,38,25424
6,3,19,38,25424
7,3,19,34,11757
1,3,20,80,54147
2,3,20,80,54147
3,3,20,74,43821
4,3,20,74,43821
5,3,20,90,60056
6,3,20,90,60056
7,3,20,80,27772
1,3,21,82,55414
2,3,21,82,55414
3,3,21,76,44847
4,3,21,76,44847
5,3,21,92,61461
6,3,21,92,61461
7,3,21,82,28422
1,3,22,35,23980
2,3,22,35,23980
3,3,22,33,19407
4,3,22,33,19407
5,3,22,40,26596
6,3,22,40,26596
7,3,22,35,12299
1,3,23,34,22793
2,3,23,34,22793
3,3,23,31,18446
4,3,23,31,18446
5,3,23,38,25280
6,3,23,38,25280
7,3,23,34,11690
1,3,24,35,23980
2,3,24,35,23980
3,3,24,33,19407
4,3,24,33,19407
5,3,24,40,26596
6,3,24,40,26596
7,3,24,35,12299
1,3,25,83,56012
2,3,25,83,56012
3,3,25,77,45331
4,3,25,77,45331
5,3,25,93,62124
6,3,25,93,62124
7,3,25,83,28728
1,3,26,12,8073
2,3,26,12,8073
3,3,26,11,6533
4,3,26,11,6533
5,3,26,13,8953
6,3,26,13,8953
7,3,26,12,4140
1,3,27,52,35109
2,3,27,52,35109
3,3,27,48,28414
4,3,27,48,28414
5,3,27,58,38940
6,3,27,58,38940
7,3,27,52,18007
1,3,28,29,19531
2,3,28,29,19531
3,3,28,27,15806
4,3,28,27,15806
5,3,28,32,21662
6,3,28,32,21662
7,3,28,29,10017
1,3,29,129,87695
2,3,29,129,87695
3,3,29,120,70971
4,3,29,120,70971
5,3,29,145,97264
6,3,29,145,97264
7,3,29,129,44978
1,3,30,54,36880
2,3,30,54,36880
3,3,30,51,29846
4,3,30,51,29846
5,3,30,61,40904
6,3,30,61,40904
7,3,30,54,18915
1,3,31,64,43244
2,3,31,64,43244
3,3,31,59,34997
4,3,31,59,34997
5,3,31,72,47962
6,3,31,72,47962
7,3,31,64,22179
1,3,32,14,9697
2,3,32,14,9697
3,3,32,13,7847
4,3,32,13,7847
5,3,32,16,10755
6,3,32,16,10755
7,3,32,14,4973
1,3,33,98,66353
2,3,33,98,66353
3,3,33,91,53699
4,3,33,91,53699
5,3,33,110,73593
6,3,33,110,73593
7,3,33,98,34032
1,3,34,165,111828
2,3,34,165,111828
3,3,34,153,90502
4,3,34,153,90502
5,3,34,185,124030
6,3,34,185,124030
7,3,34,165,57355
1,3,35,203,137978
2,3,35,203,137978
3,3,35,189,111665
4,3,35,189,111665
5,3,35,229,153033
6,3,35,229,153033
7,3,35,203,70768
1,3,36,162,109839
2,3,36,162,109839
3,3,36,151,88892
4,3,36,151,88892
5,3,36,182,121824
6,3,36,182,121824
7,3,36,162,56335
1,3,37,221,150040
2,3,37,221,150040
3,3,37,206,121427
4,3,37,206,121427
5,3,37,249,166412
6,3,37,249,166412
7,3,37,221,76954
1,3,38,215,146118
2,3,38,215,146118
3,3,38,200,118253
4,3,38,200,118253
5,3,38,242,162062
6,3,38,242,162062
7,3,38,215,74943
1,3,39,163,110793
2,3,39,163,110793
3,3,39,152,89664
4,3,39,152,89664
5,3,39,184,122882
6,3,39,184,122882
7,3,39,163,56825
1,4,1,134,90788
2,4,1,134,90788
3,4,1,125,73474
4,4,1,125,73474
5,4,1,150,100694
6,4,1,150,100694
7,4,1,134,46564
1,4,2,81,55207
2,4,2,81,55207
3,4,2,76,44679
4,4,2,76,44679
5,4,2,92,61231
6,4,2,92,61231
7,4,2,81,28315
1,4,3,118,80302
2,4,3,118,80302
3,4,3,110,64988
4,4,3,110,64988
5,4,3,133,89064
6,4,3,133,89064
7,4,3,118,41186
1,4,4,0,0
2,4,4,0,0
3,4,4,0,0
4,4,4,0,0
5,4,4,0,0
6,4,4,0,0
7,4,4,0,0
1,4,5,112,75887
2,4,5,112,75887
3,4,5,104,61415
4,4,5,104,61415
5,4,5,126,84168
6,4,5,126,84168
7,4,5,112,38922
1,4,6,117,79509
2,4,6,117,79509
3,4,6,109,64347
4,4,6,109,64347
5,4,6,132,88185
6,4,6,132,88185
7,4,6,117,40780
1,4,7,114,77068
2,4,7,114,77068
3,4,7,106,62371
4,4,7,106,62371
5,4,7,128,85477
6,4,7,128,85477
7,4,7,114,39527
1,4,8,137,92815
2,4,8,137,92815
3,4,8,127,75115
4,4,8,127,75115
5,4,8,154,102943
6,4,8,154,102943
7,4,8,137,47604
1,4,9,182,123334
2,4,9,182,123334
3,4,9,169,99814
4,4,9,169,99814
5,4,9,204,136792
6,4,9,204,136792
7,4,9,182,63257
1,4,10,18,12316
2,4,10,18,12316
3,4,10,17,9967
4,4,10,17,9967
5,4,10,20,13660
6,4,10,20,13660
7,4,10,18,6317
1,4,11,26,17826
2,4,11,26,17826
3,4,11,24,14427
4,4,11,24,14427
5,4,11,30,19771
6,4,11,30,19771
7,4,11,26,9143
1,4,12,89,60083
2,4,12,89,60083
3,4,12,82,48625
4,4,12,82,48625
5,4,12,100,66639
6,4,12,100,66639
7,4,12,89,30816
1,4,13,89,60168
2,4,13,89,60168
3,4,13,83,48694
4,4,13,83,48694
5,4,13,100,66734
6,4,13,100,66734
7,4,13,89,30860
1,4,14,111,75254
2,4,14,111,75254
3,4,14,103,60903
4,4,14,103,60903
5,4,14,125,83465
6,4,14,125,83465
7,4,14,111,38597
1,4,15,129,87229
2,4,15,129,87229
3,4,15,120,70594
4,4,15,120,70594
5,4,15,145,96747
6,4,15,145,96747
7,4,15,129,44739
1,4,16,115,78023
2,4,16,115,78023
3,4,16,107,63143
4,4,16,107,63143
5,4,16,129,86536
6,4,16,129,86536
7,4,16,115,40017
1,4,17,162,109736
2,4,17,162,109736
3,4,17,151,88809
4,4,17,151,88809
5,4,17,182,121710
6,4,17,182,121710
7,4,17,162,56282
1,4,18,185,125238
2,4,18,185,125238
3,4,18,172,101355
4,4,18,172,101355
5,4,18,208,138903
6,4,18,208,138903
7,4,18,185,64233
1,4,19,146,99344
2,4,19,146,99344
3,4,19,136,80399
4,4,19,136,80399
5,4,19,165,110184
6,4,19,165,110184
7,4,19,146,50953
1,4,20,40,27333
2,4,20,40,27333
3,4,20,37,22120
4,4,20,37,22120
5,4,20,45,30315
6,4,20,45,30315
7,4,20,40,14019
1,4,21,39,26406
2,4,21,39,26406
3,4,21,36,21370
4,4,21,36,21370
5,4,21,44,29287
6,4,21,44,29287
7,4,21,39,13543
1,4,22,150,101837
2,4,22,150,101837
3,4,22,140,82417
4,4,22,140,82417
5,4,22,169,112949
6,4,22,169,112949
7,4,22,150,52231
1,4,23,148,100651
2,4,23,148,100651
3,4,23,138,81456
4,4,23,138,81456
5,4,23,167,111633
6,4,23,167,111633
7,4,23,148,51623
1,4,24,150,101837
2,4,24,150,101837
3,4,24,140,82417
4,4,24,140,82417
5,4,24,169,112949
6,4,24,169,112949
7,4,24,150,52231
1,4,25,36,24705
2,4,25,36,24705
3,4,25,34,19994
4,4,25,34,19994
5,4,25,41,27401
6,4,25,41,27401
7,4,25,36,12671
1,4,26,113,76891
2,4,26,113,76891
3,4,26,105,62228
4,4,26,105,62228
5,4,26,127,85281
6,4,26,127,85281
7,4,26,113,39437
1,4,27,166,112967
2,4,27,166,112967
3,4,27,155,91424
4,4,27,155,91424
5,4,27,187,125294
6,4,27,187,125294
7,4,27,166,57940
1,4,28,93,63362
2,4,28,93,63362
3,4,28,87,51279
4,4,28,87,51279
5,4,28,105,70276
6,4,28,105,70276
7,4,28,93,32498
1,4,29,70,47332
2,4,29,70,47332
3,4,29,65,38305
4,4,29,65,38305
5,4,29,78,52496
6,4,29,78,52496
7,4,29,70,24276
1,4,30,78,53190
