%  number of nodes
39
%  number of vehicles
3
%  for each vehicle: vehicle index, home node, starting time, capacity
1,8,125,13200
2,13,106,13200
3,31,0,16500
% number of calls
7
%  for each vehicle, vehicle index, and then a list of calls that can be transported using that vehicle
1,1,3,7
2,1,3,7
3,1,2,3,4,5,6,7
% for each call: call index, origin node, destination node, size, cost of not transporting, lowerbound timewindow for pickup, upper_timewindow for pickup, lowerbound timewindow for delivery, upper_timewindow for delivery
1,17,37,4601,790000,345,417,345,1006
2,33,36,13444,430790,96,168,96,529
3,17,27,6596,200354,715,787,715,1089
4,6,1,11052,275455,0,72,0,435
5,38,33,6643,642740,107,179,107,593
6,10,38,14139,587198,300,372,300,801
7,26,6,5310,359885,178,250,178,567
%  travel times and costs: vehicle, origin node, destination node, travel time (in hours), travel cost (in Euro)
2,3,39,163,110793
3,3,39,152,89664
1,4,1,134,90788
2,4,1,134,90788
3,4,1,125,73474
1,4,2,81,55207
2,4,2,81,55207
3,4,2,76,44679
1,4,3,118,80302
2,4,3,118,80302
3,4,3,110,64988
1,4,4,0,0
2,4,4,0,0
3,4,4,0,0
1,4,5,112,75887
2,4,5,112,75887
3,4,5,104,61415
1,4,6,117,79509
2,4,6,117,79509
3,4,6,109,64347
1,4,7,114,77068
2,4,7,114,77068
3,4,7,106,62371
1,4,8,137,92815
2,4,8,137,92815
3,4,8,127,75115
1,4,9,182,123334
2,4,9,182,123334
3,4,9,169,99814
1,4,10,18,12316
2,4,10,18,12316
3,4,10,17,9967
1,4,11,26,17826
2,4,11,26,17826
3,4,11,24,14427
1,4,12,89,60083
2,4,12,89,60083
3,4,12,82,48625
1,4,13,89,60168
2,4,13,89,60168
3,4,13,83,48694
1,4,14,111,75254
2,4,14,111,75254
3,4,14,103,60903
1,4,15,129,87229
2,4,15,129,87229
3,4,15,120,70594
1,4,16,115,78023
2,4,16,115,78023
3,4,16,107,63143
1,4,17,162,109736
2,4,17,162,109736
3,4,17,151,88809
1,4,18,185,125238
2,4,18,185,125238
3,4,18,172,101355
1,4,19,146,99344
2,4,19,146,99344
3,4,19,136,80399
1,4,20,40,27333
2,4,20,40,27333
3,4,20,37,22120
1,4,21,39,26406
2,4,21,39,26406
3,4,21,36,21370
1,4,22,150,101837
2,4,22,150,101837
3,4,22,140,82417
1,4,23,148,100651
2,4,23,148,100651
3,4,23,138,81456
1,4,24,150,101837
2,4,24,150,101837
3,4,24,140,82417
1,4,25,36,24705
2,4,25,36,24705
3,4,25,34,19994
1,4,26,113,76891
2,4,26,113,76891
3,4,26,105,62228
1,4,27,166,112967
2,4,27,166,112967
3,4,27,155,91424
1,4,28,93,63362
2,4,28,93,63362
3,4,28,87,51279
1,4,29,70,47332
2,4,29,70,47332
3,4,29,65,38305
1,4,30,78,53190
2,4,30,78,53190
3,4,30,73,43047
1,4,31,57,38586
2,4,31,57,38586
3,4,31,53,31228
1,4,32,129,87554
2,4,32,129,87554
3,4,32,120,70857
1,4,33,23,15510
2,4,33,23,15510
3,4,33,21,12552
1,4,34,47,32080
2,4,34,47,32080
3,4,34,44,25962
1,4,35,87,58932
2,4,35,87,58932
3,4,35,81,47694
1,4,36,44,30091
2,4,36,44,30091
3,4,36,41,24353
1,4,37,104,70743
2,4,37,104,70743
3,4,37,97,57252
1,4,38,98,66821
2,4,38,98,66821
3,4,38,92,54078
1,4,39,46,31045
2,4,39,46,31045
3,4,39,43,25125
1,5,1,66,45000
2,5,1,66,45000
3,5,1,62,36418
1,5,2,51,34473
2,5,2,51,34473
3,5,2,47,27899
1,5,3,51,34514
2,5,3,51,34514
3,5,3,47,27932
1,5,4,112,75887
2,5,4,112,75887
3,5,4,104,61415
1,5,5,0,0
2,5,5,0,0
3,5,5,0,0
1,5,6,50,33765
2,5,6,50,33765
3,5,6,46,27326
1,5,7,46,31326
2,5,7,46,31326
3,5,7,43,25352
1,5,8,69,47027
2,5,8,69,47027
3,5,8,65,38059
1,5,9,114,77546
2,5,9,114,77546
3,5,9,106,62758
1,5,10,94,63861
2,5,10,94,63861
3,5,10,88,51683
1,5,11,88,59539
2,5,11,88,59539
3,5,11,82,48184
1,5,12,43,29194
2,5,12,43,29194
3,5,12,40,23627
1,5,13,38,25966
2,5,13,38,25966
3,5,13,36,21014
1,5,14,44,29532
2,5,14,44,29532
3,5,14,41,23900
1,5,15,55,37139
2,5,15,55,37139
3,5,15,51,30057
1,5,16,48,32278
2,5,16,48,32278
3,5,16,44,26123
1,5,17,94,63948
2,5,17,94,63948
3,5,17,88,51753
1,5,18,81,54760
2,5,18,81,54760
3,5,18,75,44318
1,5,19,54,36614
2,5,19,54,36614
3,5,19,50,29632
1,5,20,73,49733
2,5,20,73,49733
3,5,20,68,40249
1,5,21,75,51000
2,5,21,75,51000
3,5,21,70,41274
1,5,22,83,56049
2,5,22,83,56049
3,5,22,77,45361
1,5,23,81,54863
2,5,23,81,54863
3,5,23,75,44400
1,5,24,83,56049
2,5,24,83,56049
3,5,24,77,45361
1,5,25,76,51598
2,5,25,76,51598
3,5,25,71,41758
1,5,26,46,31103
2,5,26,46,31103
3,5,26,43,25172
1,5,27,99,67179
2,5,27,99,67179
3,5,27,92,54368
1,5,28,23,15308
2,5,28,23,15308
3,5,28,21,12388
1,5,29,123,83210
2,5,29,123,83210
3,5,29,114,67342
1,5,30,50,33799
2,5,30,50,33799
3,5,30,46,27354
1,5,31,57,38830
2,5,31,57,38830
3,5,31,53,31425
1,5,32,62,41766
2,5,32,62,41766
3,5,32,57,33801
1,5,33,91,61939
2,5,33,91,61939
3,5,33,85,50127
1,5,34,158,107414
2,5,34,158,107414
3,5,34,147,86929
1,5,35,197,133563
2,5,35,197,133563
3,5,35,183,108093
1,5,36,155,105425
2,5,36,155,105425
3,5,36,145,85320
1,5,37,215,145626
2,5,37,215,145626
3,5,37,200,117854
1,5,38,209,141704
2,5,38,209,141704
3,5,38,194,114680
1,5,39,157,106379
2,5,39,157,106379
3,5,39,146,86092
1,6,1,23,15911
2,6,1,23,15911
3,6,1,22,12877
1,6,2,54,36752
2,6,2,54,36752
3,6,2,50,29744
1,6,3,7,4969
2,6,3,7,4969
3,6,3,7,4021
1,6,4,117,79509
2,6,4,117,79509
3,6,4,109,64347
1,6,5,50,33765
2,6,5,50,33765
3,6,5,46,27326
1,6,6,0,0
2,6,6,0,0
3,6,6,0,0
1,6,7,4,2442
2,6,7,4,2442
3,6,7,3,1976
1,6,8,26,17938
2,6,8,26,17938
3,6,8,25,14517
1,6,9,71,48457
2,6,9,71,48457
3,6,9,66,39216
1,6,10,99,67483
2,6,10,99,67483
3,6,10,93,54614
1,6,11,93,63161
2,6,11,93,63161
3,6,11,87,51116
1,6,12,46,31474
2,6,12,46,31474
3,6,12,43,25472
1,6,13,42,28246
2,6,13,42,28246
3,6,13,39,22859
1,6,14,6,4283
2,6,14,6,4283
3,6,14,6,3466
1,6,15,22,15222
2,6,15,22,15222
3,6,15,21,12319
1,6,16,2,1487
2,6,16,2,1487
3,6,16,2,1203
1,6,17,51,34859
2,6,17,51,34859
3,6,17,48,28211
1,6,18,77,52320
2,6,18,77,52320
3,6,18,72,42342
1,6,19,38,25689
2,6,19,38,25689
3,6,19,35,20790
1,6,20,79,53355
2,6,20,79,53355
3,6,20,73,43180
1,6,21,80,54622
2,6,21,80,54622
3,6,21,75,44206
1,6,22,40,26961
2,6,22,40,26961
3,6,22,37,21819
1,6,23,38,25774
2,6,23,38,25774
3,6,23,35,20859
1,6,24,40,26961
2,6,24,40,26961
3,6,24,37,21819
1,6,25,81,55220
2,6,25,81,55220
3,6,25,76,44689
1,6,26,11,7783
2,6,26,11,7783
3,6,26,11,6299
1,6,27,56,38091
2,6,27,56,38091
3,6,27,52,30827
1,6,28,28,18783
2,6,28,28,18783
3,6,28,26,15201
1,6,29,128,86903
2,6,29,128,86903
3,6,29,119,70330
1,6,30,53,36087
2,6,30,53,36087
3,6,30,50,29205
1,6,31,63,42452
2,6,31,63,42452
3,6,31,58,34356
1,6,32,19,12678
2,6,32,19,12678
3,6,32,17,10260
1,6,33,97,65560
2,6,33,97,65560
3,6,33,90,53058
1,6,34,164,111036
2,6,34,164,111036
3,6,34,152,89861
1,6,35,202,137186
2,6,35,202,137186
3,6,35,188,111024
1,6,36,161,109047
2,6,36,161,109047
3,6,36,150,88251
1,6,37,220,149248
2,6,37,220,149248
3,6,37,205,120786
1,6,38,214,145326
2,6,38,214,145326
3,6,38,199,117612
1,6,39,162,110001
2,6,39,162,110001
3,6,39,151,89023
1,7,1,21,14445
2,7,1,21,14445
3,7,1,20,11690
1,7,2,51,34311
2,7,2,51,34311
3,7,2,47,27768
1,7,3,5,3506
2,7,3,5,3506
3,7,3,5,2837
1,7,4,114,77068
2,7,4,114,77068
3,7,4,106,62371
1,7,5,46,31326
2,7,5,46,31326
3,7,5,43,25352
1,7,6,4,2442
2,7,6,4,2442
3,7,6,3,1976
1,7,7,0,0
2,7,7,0,0
3,7,7,0,0
1,7,8,24,16472
2,7,8,24,16472
3,7,8,23,13331
1,7,9,69,46991
2,7,9,69,46991
3,7,9,64,38030
1,7,10,96,65041
2,7,10,96,65041
3,7,10,89,52638
1,7,11,89,60719
2,7,11,89,60719
3,7,11,83,49140
1,7,12,43,29032
2,7,12,43,29032
3,7,12,40,23496
1,7,13,38,25804
2,7,13,38,25804
3,7,13,35,20883
1,7,14,3,1841
2,7,14,3,1841
3,7,14,3,1490
1,7,15,20,13352
2,7,15,20,13352
3,7,15,18,10806
1,7,16,1,955
2,7,16,1,955
3,7,16,1,773
1,7,17,49,33393
2,7,17,49,33393
3,7,17,46,27024
1,7,18,75,50770
2,7,18,75,50770
3,7,18,70,41088
1,7,19,36,24164
2,7,19,36,24164
3,7,19,33,19556
1,7,20,75,50913
2,7,20,75,50913
3,7,20,70,41204
1,7,21,77,52180
2,7,21,77,52180
3,7,21,72,42229
1,7,22,38,25494
2,7,22,38,25494
3,7,22,35,20632
1,7,23,36,24308
2,7,23,36,24308
3,7,23,33,19672
1,7,24,38,25494
2,7,24,38,25494
3,7,24,35,20632
1,7,25,78,52778
2,7,25,78,52778
3,7,25,72,42713
1,7,26,8,5417
2,7,26,8,5417
3,7,26,7,4384
1,7,27,54,36624
2,7,27,54,36624
3,7,27,50,29640
1,7,28,24,16343
2,7,28,24,16343
3,7,28,22,13226
1,7,29,124,84461
2,7,29,124,84461
3,7,29,116,68354
1,7,30,50,33646
2,7,30,50,33646
3,7,30,46,27229
1,7,31,59,40010
2,7,31,59,40010
3,7,31,55,32380
1,7,32,17,11211
2,7,32,17,11211
3,7,32,15,9073
1,7,33,93,63119
2,7,33,93,63119
3,7,33,87,51082
1,7,34,160,108594
2,7,34,160,108594
3,7,34,149,87885
1,7,35,199,134744
2,7,35,199,134744
3,7,35,185,109048
1,7,36,157,106605
2,7,36,157,106605
3,7,36,146,86275
1,7,37,216,146806
2,7,37,216,146806
3,7,37,201,118810
1,7,38,211,142884
2,7,38,211,142884
3,7,38,196,115635
1,7,39,158,107559
2,7,39,158,107559
3,7,39,148,87047
1,8,1,8,5106
2,8,1,8,5106
3,8,1,7,4132
1,8,2,74,50058
2,8,2,74,50058
3,8,2,69,40512
1,8,3,22,14957
2,8,3,22,14957
3,8,3,21,12105
1,8,4,137,92815
2,8,4,137,92815
3,8,4,127,75115
1,8,5,69,47027
2,8,5,69,47027
3,8,5,65,38059
1,8,6,26,17938
2,8,6,26,17938
3,8,6,25,14517
1,8,7,24,16472
2,8,7,24,16472
3,8,7,23,13331
1,8,8,0,0
2,8,8,0,0
3,8,8,0,0
1,8,9,51,34452
2,8,9,51,34452
3,8,9,47,27882
1,8,10,119,80789
2,8,10,119,80789
3,8,10,111,65382
1,8,11,113,76466
2,8,11,113,76466
3,8,11,105,61884
1,8,12,66,44779
2,8,12,66,44779
3,8,12,61,36240
1,8,13,61,41552
2,8,13,61,41552
3,8,13,57,33628
1,8,14,27,18062
2,8,14,27,18062
3,8,14,25,14617
1,8,15,30,20665
2,8,15,30,20665
3,8,15,28,16724
1,8,16,24,16451
2,8,16,24,16451
3,8,16,23,13314
1,8,17,31,20854
2,8,17,31,20854
3,8,17,29,16877
1,8,18,69,46703
2,8,18,69,46703
3,8,18,64,37797
1,8,19,29,19741
2,8,19,29,19741
3,8,19,27,15976
1,8,20,98,66661
2,8,20,98,66661
3,8,20,91,53948
1,8,21,100,67928
2,8,21,100,67928
3,8,21,93,54974
1,8,22,19,12955
2,8,22,19,12955
3,8,22,18,10485
1,8,23,17,11769
2,8,23,17,11769
3,8,23,16,9524
1,8,24,19,12955
2,8,24,19,12955
3,8,24,18,10485
1,8,25,101,68526
2,8,25,101,68526
3,8,25,94,55458
1,8,26,30,20103
2,8,26,30,20103
3,8,26,28,16269
1,8,27,35,24085
2,8,27,35,24085
3,8,27,33,19492
1,8,28,47,32044
2,8,28,47,32044
3,8,28,44,25933
1,8,29,148,100208
2,8,29,148,100208
3,8,29,137,81098
1,8,30,73,49393
2,8,30,73,49393
3,8,30,68,39973
1,8,31,82,55757
2,8,31,82,55757
3,8,31,76,45124
1,8,32,11,7146
2,8,32,11,7146
3,8,32,10,5783
1,8,33,116,78866
2,8,33,116,78866
3,8,33,108,63826
1,8,34,183,124341
2,8,34,183,124341
3,8,34,171,100629
1,8,35,222,150491
2,8,35,222,150491
3,8,35,206,121792
1,8,36,180,122352
2,8,36,180,122352
3,8,36,168,99019
1,8,37,239,162553
2,8,37,239,162553
3,8,37,223,131554
1,8,38,234,158631
2,8,38,234,158631
3,8,38,218,128380
1,8,39,182,123306
2,8,39,182,123306
3,8,39,169,99791
1,9,1,52,35625
2,9,1,52,35625
3,9,1,49,28831
1,9,2,119,80577
2,9,2,119,80577
3,9,2,111,65211
1,9,3,67,45476
2,9,3,67,45476
3,9,3,62,36804
1,9,4,182,123334
2,9,4,182,123334
3,9,4,169,99814
1,9,5,114,77546
2,9,5,114,77546
3,9,5,106,62758
1,9,6,71,48457
2,9,6,71,48457
3,9,6,66,39216
1,9,7,69,46991
2,9,7,69,46991
3,9,7,64,38030
1,9,8,51,34452
2,9,8,51,34452
3,9,8,47,27882
1,9,9,0,0
2,9,9,0,0
3,9,9,0,0
1,9,10,164,111308
2,9,10,164,111308
3,9,10,153,90081
1,9,11,158,106985
2,9,11,158,106985
3,9,11,147,86583
1,9,12,111,75298
2,9,12,111,75298
3,9,12,103,60939
1,9,13,106,72071
2,9,13,106,72071
3,9,13,99,58327
1,9,14,72,48581
2,9,14,72,48581
3,9,14,67,39316
1,9,15,75,51184
2,9,15,75,51184
3,9,15,70,41423
1,9,16,69,46970
2,9,16,69,46970
3,9,16,64,38013
1,9,17,29,19628
2,9,17,29,19628
3,9,17,27,15885
1,9,18,106,71742
2,9,18,106,71742
3,9,18,98,58060
1,9,19,66,44779
2,9,19,66,44779
3,9,19,61,36240
1,9,20,143,97180
2,9,20,143,97180
3,9,20,133,78647
1,9,21,145,98447
2,9,21,145,98447
3,9,21,135,79673
1,9,22,39,26506
2,9,22,39,26506
3,9,22,36,21451
1,9,23,37,25319
2,9,23,37,25319
3,9,23,35,20491
1,9,24,39,26506
2,9,24,39,26506
3,9,24,36,21451
1,9,25,146,99045
2,9,25,146,99045
3,9,25,136,80157
1,9,26,75,50622
2,9,26,75,50622
3,9,26,69,40968
1,9,27,22,14596
2,9,27,22,14596
3,9,27,20,11812
1,9,28,92,62563
2,9,28,92,62563
3,9,28,86,50632
1,9,29,193,130727
2,9,29,193,130727
3,9,29,179,105797
1,9,30,118,79912
2,9,30,118,79912
3,9,30,110,64673
1,9,31,127,86276
2,9,31,127,86276
3,9,31,118,69823
1,9,32,55,37665
2,9,32,55,37665
3,9,32,52,30482
1,9,33,161,109385
2,9,33,161,109385
3,9,33,150,88525
1,9,34,228,154860
2,9,34,228,154860
3,9,34,212,125328
1,9,35,267,181010
2,9,35,267,181010
3,9,35,248,146491
1,9,36,225,152871
2,9,36,225,152871
3,9,36,210,123718
1,9,37,284,193072
2,9,37,284,193072
3,9,37,265,156253
1,9,38,279,189150
2,9,38,279,189150
3,9,38,259,153079
1,9,39,227,153825
2,9,39,227,153825
3,9,39,211,124490
1,10,1,116,78762
2,10,1,116,78762
3,10,1,108,63741
1,10,2,64,43181
2,10,2,64,43181
3,10,2,59,34946
1,10,3,101,68275
2,10,3,101,68275
3,10,3,94,55255
1,10,4,18,12316
2,10,4,18,12316
3,10,4,17,9967
1,10,5,94,63861
2,10,5,94,63861
3,10,5,88,51683
1,10,6,99,67483
2,10,6,99,67483
3,10,6,93,54614
1,10,7,96,65041
2,10,7,96,65041
3,10,7,89,52638
1,10,8,119,80789
2,10,8,119,80789
3,10,8,111,65382
1,10,9,164,111308
2,10,9,164,111308
3,10,9,153,90081
1,10,10,0,0
2,10,10,0,0
3,10,10,0,0
1,10,11,9,5800
2,10,11,9,5800
3,10,11,8,4694
1,10,12,71,48057
2,10,12,71,48057
3,10,12,66,38892
1,10,13,71,48142
2,10,13,71,48142
3,10,13,66,38961
1,10,14,93,63227
2,10,14,93,63227
3,10,14,87,51170
1,10,15,111,75203
2,10,15,111,75203
3,10,15,103,60862
1,10,16,97,65996
2,10,16,97,65996
3,10,16,91,53411
1,10,17,144,97709
2,10,17,144,97709
3,10,17,134,79076
1,10,18,167,113212
2,10,18,167,113212
3,10,18,155,91622
1,10,19,129,87318
2,10,19,129,87318
3,10,19,120,70666
1,10,20,23,15306
2,10,20,23,15306
3,10,20,21,12387
1,10,21,21,14380
2,10,21,21,14380
3,10,21,20,11637
1,10,22,132,89811
2,10,22,132,89811
3,10,22,123,72684
1,10,23,131,88624
2,10,23,131,88624
3,10,23,122,71723
1,10,24,132,89811
2,10,24,132,89811
3,10,24,123,72684
1,10,25,19,12679
2,10,25,19,12679
3,10,25,17,10261
1,10,26,96,64865
2,10,26,96,64865
3,10,26,89,52495
1,10,27,149,100941
2,10,27,149,100941
3,10,27,138,81691
1,10,28,76,51336
2,10,28,76,51336
3,10,28,70,41546
1,10,29,52,35339
2,10,29,52,35339
3,10,29,48,28600
1,10,30,61,41164
2,10,30,61,41164
3,10,30,56,33314
1,10,31,39,26560
2,10,31,39,26560
3,10,31,36,21495
1,10,32,111,75528
2,10,32,111,75528
3,10,32,104,61125
1,10,33,5,3484
2,10,33,5,3484
3,10,33,5,2820
1,10,34,65,43842
2,10,34,65,43842
3,10,34,60,35481
1,10,35,103,70002
2,10,35,103,70002
3,10,35,96,56652
1,10,36,62,41853
2,10,36,62,41853
3,10,36,57,33872
1,10,37,121,82054
2,10,37,121,82054
3,10,37,113,66406
1,10,38,115,78132
2,10,38,115,78132
3,10,38,107,63232
1,10,39,63,42807
2,10,39,63,42807
3,10,39,59,34644
1,11,1,110,74439
2,11,1,110,74439
3,11,1,102,60243
1,11,2,57,38858
2,11,2,57,38858
3,11,2,53,31448
1,11,3,94,63953
2,11,3,94,63953
3,11,3,88,51757
1,11,4,26,17826
2,11,4,26,17826
3,11,4,24,14427
1,11,5,88,59539
2,11,5,88,59539
3,11,5,82,48184
1,11,6,93,63161
2,11,6,93,63161
3,11,6,87,51116
1,11,7,89,60719
2,11,7,89,60719
3,11,7,83,49140
1,11,8,113,76466
2,11,8,113,76466
3,11,8,105,61884
1,11,9,158,106985
2,11,9,158,106985
3,11,9,147,86583
1,11,10,9,5800
2,11,10,9,5800
3,11,10,8,4694
1,11,11,0,0
